id	sector	region	north	centre	south_isl	rel_weight	age	group	individual_first_shr	foreign_first_shr	decentr_manag	employees	RD_empl_share	grad_empl_share	labour_flex	age_ceo	female_ceo	fam_ceo	prod_inn	proc_inn	patent	RD_inv	direct_export	dir_export_share	dir_export_eu	dir_export_outside_eu	import_goods	import_share_goods	import_goods_china_india	deloc_fdi	deloc_fdi_share	deloc_fdi_china_india	qual_cert	competitors_from_abroad	widened_prod_range	increase_margins	external_financing	local_bank	national_bank	foreign_bank	banks_number	credit_requested	credit_denied	totalassets	sales	addedvalue	ebit	roa	roi	ros	roe	leverage	tfp_va	dimensione	areageo	sector2
9313	24	1	1	0	0	.6736162	47	0	0	0	0	140	0	0	1	4	0	1	0	1	0	1	1	10	1	1	1	.25	0	0	0	0	1	1	0	0	0	0	1	0	3	0	0	13874	19770	6545	752	.0567248	.0542021	.0380374	.1209095	2.13151	-.0513883	2	0	4
9330	23	1	1	0	0	1.051953	39	0	1	0	0	34	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	7630	5646	1860	250	.0242464	.0327654	.0442791	.0570284	2.352035	-.0474922	1	0	3
7666	20	1	1	0	0	.5223962	155	1	0	0	0	70	0	0	1	3	0	1	0	1	0	1	1	40	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	30	0	0	61367	38985	6602	1845	.0163443	.030065	.0473259	.039281	2.403345	.3856941	1	0	3
7669	10	1	1	0	0	1.162582	30	0	1	0	0	42	0	0	1	4	0	1	0	0	0	0	1	25	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	7	0	0	5417	7019	1260	128	-.007938	.0236293	.0182362	-.0714286	8.998339		1	0	0
9321	25	1	1	0	0	1.113938	42	0	0	0	0	26	0	0	1	5	1	1	0	0	0	0	1	20	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	5	0	0	2632	1973	1047	92	-.0136778	.0349544	.0466295	-.1046512	7.651163		1	0	4
7282	10	1	1	0	0	1.162582	18	0	1	0	0	11	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1415	3087	1146	511	.3477032	.3611307	.1655329	1.029289	2.960251	.6615165	0	0	0
7657	28	1	1	0	0	.9462538	16	0	1	0	0	35	70	0	1	4	0	1	1	0	1	1	1	75	1	1	1	2	1	0	0	0	0	1	1	0	1	1	1	1	9	0	0	5519	6608	1887	160	-.0072477	.0289908	.0242131	-.0739372	10.20148	-.1096837	1	0	7
9370	25	1	1	0	0	1.113938	25	0	1	0	1	41	5	2	1	4	0	1	1	1	0	1	1	100	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	2	1	0	2571	4456	1820	221	.0882925	.0859588	.049596	.1963668	2.224048		1	0	4
8588	28	1	1	0	0	.9462538	31	0	1	0	0	20	0	0	0	6	0	1	1	0	1	1	1	40	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	3	0	0	1753	2336	763	68	.0239589	.0387906	.0291096	.0785047	3.276635		1	0	7
7281	14	1	1	0	0	1.125092	18	0	1	0	0	16	0	0	1	5	0	1	1	0	1	1	1	10	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	3	0	0	1346	1981	682	74	.0237741	.0549777	.0373549	.1509434	6.349057	-.2854836	1	0	1
