price	size	position	corner	taxes
1900	2580	1	0	18
1800	2774	1	0	22
1450	2150	1	0	1
1375	1837	1	0	11
1270	1880	1	0	93
1250	2150	1	0	96
1235	1894	1	0	6
1170	1928	1	0	47
1180	1830	1	0	70
1155	1767	1	0	76
1110	1630	1	1	86
1139	1680	1	1	72
995	1725	1	0	92
995	1500	1	0	71
975	1430	1	0	73
975	1360	1	0	62
900	1400	1	1	69
960	1573	1	0	74
860	1385	1	0	55
1695	2931	1	1	8
1553	2200	1	0	3
1250	2277	1	0	1
1300	2000	1	0	4
1020	1478	1	1	49
1020	1713	1	1	47
922	1326	1	0	57
925	1050	1	1	42
899	1464	1	0	43
850	1190	1	0	47
876	1156	1	0	1
890	1746	1	0	45
870	1280	1	0	46
700	1215	1	0	35
720	1121	1	0	28
720	1050	1	0	1
731	1299	1	0	44
725	1140	1	1	38
670	1181	1	0	31
1599	2440	1	0	16
1239	1706	1	0	78
1125	1710	1	0	77
1100	1657	1	0	84
1080	2200	1	0	4
1050	1680	1	0	87
1049	1900	1	0	60
955	1565	1	0	53
934	1543	1	0	81
875	1173	1	0	33
889	1549	1	0	67
835	1560	1	1	51
810	1365	1	0	59
805	1258	1	1	82
799	1314	1	0	58
750	1338	1	1	54
759	997	1	0	34
755	1275	1	0	1
750	1030	1	0	37
730	1027	1	0	30
729	1007	1	0	40
710	1083	1	0	39
773	1320	1	0	1
690	1348	1	0	1
670	1350	1	0	48
619	837	1	0	25
975	1500	0	1	63
939	1428	0	0	64
820	1375	0	0	44
780	1080	0	0	47
770	900	0	0	27
700	1505	0	1	45
620	1480	0	0	1
540	1142	0	0	23
1070	1464	0	0	26
725	1280	0	0	32
660	1159	0	0	24
600	1198	0	0	1
580	1051	0	0	29
1580	2563	0	0	10
699	1400	0	1	36
1160	1720	0	0	86
1109	1740	0	0	80
1050	1620	0	0	77
1045	1630	0	0	72
1050	1920	0	0	95
1020	1606	0	0	79
1000	1535	0	1	57
1030	1540	0	1	83
975	1739	0	0	88
950	1715	0	0	90
940	1305	0	0	52
920	1415	0	0	85
945	1580	0	0	78
874	1236	0	0	65
872	1229	0	0	66
870	1273	0	0	51
869	1165	0	0	61
766	1200	0	1	50
739	970	0	1	41
